genome.genome_id	genome.genome_name	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence
573.22403	Klebsiella pneumoniae strain CRK0143	Resistant::Susceptible	Computational Prediction
573.22404	Klebsiella pneumoniae strain CRK0149	Resistant::Susceptible	Computational Prediction
573.22405	Klebsiella pneumoniae strain CRK0147	Resistant::Susceptible	Computational Prediction
573.22406	Klebsiella pneumoniae strain CRK0155	Resistant::Susceptible	Computational Prediction
573.22407	Klebsiella pneumoniae strain CRK0181	Resistant::Susceptible	Computational Prediction
573.22408	Klebsiella pneumoniae strain CRK0160	Resistant::Susceptible	Computational Prediction
573.22409	Klebsiella pneumoniae strain CRK0151	Resistant::Susceptible	Computational Prediction
573.22410	Klebsiella pneumoniae strain CRK0132	Resistant::Susceptible	Computational Prediction
573.22411	Klebsiella pneumoniae strain CRK0163	Resistant::Susceptible	Computational Prediction
573.22412	Klebsiella pneumoniae strain CRK0175	Resistant::Susceptible	Computational Prediction
573.22413	Klebsiella pneumoniae strain CRK0165	Resistant::Susceptible	Computational Prediction
573.22414	Klebsiella pneumoniae strain CRK0164	Susceptible::Resistant	Computational Prediction
573.22415	Klebsiella pneumoniae strain CRK0115	Resistant::Susceptible	Computational Prediction
573.22416	Klebsiella pneumoniae strain CRK0102	Susceptible::Resistant	Computational Prediction
573.22417	Klebsiella pneumoniae strain CRK0177	Susceptible::Resistant	Computational Prediction
573.22418	Klebsiella pneumoniae strain CRK0123	Susceptible::Resistant	Computational Prediction
573.22419	Klebsiella pneumoniae strain CRK0183	Resistant::Susceptible	Computational Prediction
573.22420	Klebsiella pneumoniae strain CRK0180	Resistant::Susceptible	Computational Prediction
573.22421	Klebsiella pneumoniae strain CRK0128	Resistant::Susceptible	Computational Prediction
573.22422	Klebsiella pneumoniae strain CRK0118	Resistant::Susceptible	Computational Prediction
573.22424	Klebsiella pneumoniae strain CRK0176	Resistant::Susceptible	Computational Prediction
573.22425	Klebsiella pneumoniae strain CRK0178	Resistant::Susceptible	Computational Prediction
573.22426	Klebsiella pneumoniae strain CRK0182	Resistant::Susceptible	Computational Prediction
573.22427	Klebsiella pneumoniae strain CRK0117	Resistant::Susceptible	Computational Prediction
573.22428	Klebsiella pneumoniae strain CRK0107	Resistant::Susceptible	Computational Prediction
573.22429	Klebsiella pneumoniae strain CRK0119	Resistant::Susceptible	Computational Prediction
573.22430	Klebsiella pneumoniae strain CRK0104	Resistant::Susceptible	Computational Prediction
573.22431	Klebsiella pneumoniae strain CRK0166	Resistant::Susceptible	Computational Prediction
573.22432	Klebsiella pneumoniae strain CRK0111	Resistant::Susceptible	Computational Prediction
