genome.genome_id	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.resistant_phenotype
1087443.3	1087443.3	ertapenem	
1087443.3	1087443.3	amikacin	
1087443.3	1087443.3	piperacillin/tazobactam	
1087443.3	1087443.3	cefazolin	
1087443.3	1087443.3	ciprofloxacin	
1087443.3	1087443.3	imipenem	
1087443.3	1087443.3	tetracycline	
1087443.3	1087443.3	ceftriaxone	
1087443.3	1087443.3	cefepime	
1087443.3	1087443.3	cefoxitin	
1087443.3	1087443.3	levofloxacin	
1087443.3	1087443.3	colistin	
1087443.3	1087443.3	aztreonam	
1087443.3	1087443.3	tigecycline	
1087443.3	1087443.3	tobramycin	
1087443.3	1087443.3	polymyxin B	
1087443.3	1087443.3	trimethoprim/sulfamethoxazole	
1087444.3	1087444.3	amoxicillin/clavulanic acid	
1087444.3	1087444.3	amikacin	
1087444.3	1087444.3	ampicillin	
1087444.3	1087444.3	aztreonam	
1087444.3	1087444.3	ceftazidime	
1087444.3	1087444.3	cefazolin	
1087444.3	1087444.3	chloramphenicol	
1087444.3	1087444.3	ciprofloxacin	
1087444.3	1087444.3	ceftriaxone	
1087444.3	1087444.3	colistin	
1087444.3	1087444.3	cefotaxime	
1087444.3	1087444.3	cefotaxime/clavulanic acid	
1087444.3	1087444.3	cefuroxime	
1087444.3	1087444.3	doripenem	
1087444.3	1087444.3	ertapenem	
1087444.3	1087444.3	cefepime	
1087444.3	1087444.3	fosfomycin	
1087444.3	1087444.3	cefoxitin	
1087444.3	1087444.3	gentamicin	
1087444.3	1087444.3	imipenem	
1087444.3	1087444.3	levofloxacin	
1087444.3	1087444.3	meropenem	
1087444.3	1087444.3	minocycline	
1087444.3	1087444.3	nitrofurantoin	
1087444.3	1087444.3	ampicillin/sulbactam	
1087444.3	1087444.3	tetracycline	
1087444.3	1087444.3	tigecycline	
1087444.3	1087444.3	tobramycin	
1087444.3	1087444.3	piperacillin/tazobactam	
1087444.3	1087444.3	cefoxitin	
1087444.3	1087444.3	tigecycline	
1087444.3	1087444.3	tetracycline	
1087444.3	1087444.3	ceftazidime	
1087444.3	1087444.3	imipenem	
1087444.3	1087444.3	levofloxacin	
1087444.3	1087444.3	ertapenem	
1087444.3	1087444.3	cefazolin	
1087444.3	1087444.3	rifampin	
1087444.3	1087444.3	trimethoprim/sulfamethoxazole	
1087444.3	1087444.3	piperacillin/tazobactam	
1087444.3	1087444.3	colistin	
1087444.3	1087444.3	ciprofloxacin	
1087444.3	1087444.3	gentamicin	
1087444.3	1087444.3	amikacin	
1087444.3	1087444.3	cefepime	
1087444.3	1087444.3	aztreonam	
1087444.3	1087444.3	tobramycin	
1087444.3	1087444.3	amoxicillin/clavulanic acid	
1087444.3	1087444.3	meropenem	
1087444.3	1087444.3	ceftriaxone	
1087444.3	1087444.3	ampicillin	
1087444.3	1087444.3	cefotaxime	
1087444.3	1087444.3	polymyxin B	
1087444.3	1087444.3	trimethoprim/sulfamethoxazole	
1087445.3	1087445.3	amoxicillin/clavulanic acid	
1087445.3	1087445.3	amikacin	
1087445.3	1087445.3	ampicillin	
1087445.3	1087445.3	aztreonam	
1087445.3	1087445.3	ceftazidime	
1087445.3	1087445.3	cefazolin	
1087445.3	1087445.3	chloramphenicol	
1087445.3	1087445.3	ciprofloxacin	
1087445.3	1087445.3	ceftriaxone	
1087445.3	1087445.3	colistin	
1087445.3	1087445.3	cefotaxime	
